dataset,cell_id,group,method,threshold_type,detection_cycle
Dataset2,D2_Qual_13,Qualified,PatchCore_Prog,mean+3σ,
Dataset2,D2_Qual_13,Qualified,PatchCore_Prog,mean+2σ,
Dataset2,D2_Qual_13,Qualified,PatchCore_Prog,P95,125.0
Dataset2,D2_Qual_14,Qualified,PatchCore_Prog,mean+3σ,
Dataset2,D2_Qual_14,Qualified,PatchCore_Prog,mean+2σ,
Dataset2,D2_Qual_14,Qualified,PatchCore_Prog,P95,
Dataset2,D2_Subseq_15,Subsequent,PatchCore_Prog,mean+3σ,
Dataset2,D2_Subseq_15,Subsequent,PatchCore_Prog,mean+2σ,75.0
Dataset2,D2_Subseq_15,Subsequent,PatchCore_Prog,P95,40.0
Dataset2,D2_Subseq_16,Subsequent,PatchCore_Prog,mean+3σ,
Dataset2,D2_Subseq_16,Subsequent,PatchCore_Prog,mean+2σ,75.0
Dataset2,D2_Subseq_16,Subsequent,PatchCore_Prog,P95,40.0
Dataset2,D2_Subseq_17,Subsequent,PatchCore_Prog,mean+3σ,
Dataset2,D2_Subseq_17,Subsequent,PatchCore_Prog,mean+2σ,
Dataset2,D2_Subseq_17,Subsequent,PatchCore_Prog,P95,40.0
Dataset2,D2_Subseq_18,Subsequent,PatchCore_Prog,mean+3σ,60.0
Dataset2,D2_Subseq_18,Subsequent,PatchCore_Prog,mean+2σ,60.0
Dataset2,D2_Subseq_18,Subsequent,PatchCore_Prog,P95,60.0
Dataset2,D2_Subseq_19,Subsequent,PatchCore_Prog,mean+3σ,
Dataset2,D2_Subseq_19,Subsequent,PatchCore_Prog,mean+2σ,60.0
Dataset2,D2_Subseq_19,Subsequent,PatchCore_Prog,P95,40.0
Dataset2,D2_Subseq_20,Subsequent,PatchCore_Prog,mean+3σ,75.0
Dataset2,D2_Subseq_20,Subsequent,PatchCore_Prog,mean+2σ,60.0
Dataset2,D2_Subseq_20,Subsequent,PatchCore_Prog,P95,40.0
Dataset2,D2_Subseq_21,Subsequent,PatchCore_Prog,mean+3σ,
Dataset2,D2_Subseq_21,Subsequent,PatchCore_Prog,mean+2σ,60.0
Dataset2,D2_Subseq_21,Subsequent,PatchCore_Prog,P95,40.0
Dataset2,D2_Subseq_22,Subsequent,PatchCore_Prog,mean+3σ,
Dataset2,D2_Subseq_22,Subsequent,PatchCore_Prog,mean+2σ,
Dataset2,D2_Subseq_22,Subsequent,PatchCore_Prog,P95,75.0
Dataset2,D2_Subseq_23,Subsequent,PatchCore_Prog,mean+3σ,
Dataset2,D2_Subseq_23,Subsequent,PatchCore_Prog,mean+2σ,60.0
Dataset2,D2_Subseq_23,Subsequent,PatchCore_Prog,P95,40.0
