dataset,cell_id,group,method,max_score,mean_score,label
Dataset2,D2_Qual_14,Qualified,LOF,0.8892906723626002,-0.4321929003546149,0
Dataset2,D2_Subseq_15,Subsequent,LOF,8.406548861926243,3.3737972454950858,1
Dataset2,D2_Subseq_16,Subsequent,LOF,7.15251102372866,2.290043209726125,1
Dataset2,D2_Subseq_17,Subsequent,LOF,11.5710668090031,4.983451305775334,1
Dataset2,D2_Subseq_18,Subsequent,LOF,10.856655481822983,4.5013863929530435,1
Dataset2,D2_Subseq_19,Subsequent,LOF,12.801395390718103,5.69923717485083,1
Dataset2,D2_Subseq_20,Subsequent,LOF,19.038264993712176,10.956238418109429,1
Dataset2,D2_Subseq_21,Subsequent,LOF,14.31461164877092,7.1536011188719595,1
Dataset2,D2_Subseq_22,Subsequent,LOF,4.97279373165072,1.3716803430405005,1
Dataset2,D2_Subseq_23,Subsequent,LOF,8.60183168123779,3.202461254075321,1
Dataset1,D1_Qual_1,Qualified,Mahalanobis Distance,11.834298645883925,1.7676783912481782,0
Dataset1,D1_Qual_2,Qualified,Mahalanobis Distance,5.511423538001754,1.7513085599161815,0
Dataset1,D1_Qual_3,Qualified,Mahalanobis Distance,11.262419983242877,1.5474078319502476,0
Dataset1,D1_Qual_4,Qualified,Mahalanobis Distance,4.695808603663608,1.5324922707840811,0
Dataset1,D1_Qual_5,Qualified,Mahalanobis Distance,14.186933574514097,1.7348799999978195,0
Dataset1,D1_Qual_6,Qualified,Mahalanobis Distance,13.374875012114593,2.86792883470894,0
Dataset1,D1_Subseq_1,Subsequent,Mahalanobis Distance,14.28275181657493,4.8310027190079605,1
Dataset1,D1_Subseq_2,Subsequent,Mahalanobis Distance,17.104980134052397,4.323217881483682,1
Dataset1,D1_Subseq_3,Subsequent,Mahalanobis Distance,10.790232209384854,3.274616394946578,1
Dataset1,D1_Subseq_4,Subsequent,Mahalanobis Distance,8.181689118054686,2.8215494077286234,1
Dataset1,D1_Subseq_5,Subsequent,Mahalanobis Distance,15.730282063707516,2.5117211004351145,1
Dataset1,D1_Subseq_6,Subsequent,Mahalanobis Distance,5.955081906577143,2.391012290742217,1
Dataset2,D2_Qual_1,Qualified,Mahalanobis Distance,12.280332433511322,2.0049452065215934,0
Dataset2,D2_Qual_2,Qualified,Mahalanobis Distance,13.385636760044846,2.12399341998369,0
