dataset,cell_id,group,method,max_score,mean_score,label
Dataset2,D2_Qual_11,Qualified,TCN_AE,0.11435703188180923,0.009515104815363884,0
Dataset2,D2_Qual_12,Qualified,TCN_AE,0.11820273101329803,0.007861834950745106,0
Dataset2,D2_Qual_13,Qualified,TCN_AE,0.12428413331508636,0.007071400061249733,0
Dataset2,D2_Qual_14,Qualified,TCN_AE,0.0947495847940445,0.006977388635277748,0
Dataset2,D2_Subseq_15,Subsequent,TCN_AE,0.13896343111991882,0.09264722466468811,1
Dataset2,D2_Subseq_16,Subsequent,TCN_AE,0.1077934131026268,0.059433769434690475,1
Dataset2,D2_Subseq_17,Subsequent,TCN_AE,0.3573625087738037,0.1639252007007599,1
Dataset2,D2_Subseq_18,Subsequent,TCN_AE,0.27931153774261475,0.17163516581058502,1
Dataset2,D2_Subseq_19,Subsequent,TCN_AE,0.321247935295105,0.1898689866065979,1
Dataset2,D2_Subseq_20,Subsequent,TCN_AE,1.3159676790237427,0.5385698080062866,1
Dataset2,D2_Subseq_21,Subsequent,TCN_AE,0.5344477891921997,0.277307391166687,1
Dataset2,D2_Subseq_22,Subsequent,TCN_AE,0.08728598058223724,0.03682857006788254,1
Dataset2,D2_Subseq_23,Subsequent,TCN_AE,0.3945635259151459,0.11065026372671127,1
Dataset1,D1_Qual_1,Qualified,Transformer_AE,0.3563876152038574,0.05528003349900246,0
Dataset1,D1_Qual_2,Qualified,Transformer_AE,0.3478461802005768,0.04686610400676727,0
Dataset1,D1_Qual_3,Qualified,Transformer_AE,0.33800727128982544,0.032846394926309586,0
Dataset1,D1_Qual_4,Qualified,Transformer_AE,0.31613367795944214,0.035743556916713715,0
Dataset1,D1_Qual_5,Qualified,Transformer_AE,0.4061647355556488,0.035774778574705124,0
Dataset1,D1_Qual_6,Qualified,Transformer_AE,0.3618408143520355,0.04741007089614868,0
Dataset1,D1_Subseq_1,Subsequent,Transformer_AE,23.680932998657227,2.857494354248047,1
Dataset1,D1_Subseq_2,Subsequent,Transformer_AE,21.499879837036133,1.6971704959869385,1
Dataset1,D1_Subseq_3,Subsequent,Transformer_AE,5.835081577301025,0.38328632712364197,1
Dataset1,D1_Subseq_4,Subsequent,Transformer_AE,2.2015857696533203,0.1625659316778183,1
Dataset1,D1_Subseq_5,Subsequent,Transformer_AE,6.740044593811035,0.16803830862045288,1
Dataset1,D1_Subseq_6,Subsequent,Transformer_AE,0.819074809551239,0.08073844015598297,1
Dataset2,D2_Qual_1,Qualified,Transformer_AE,0.7790035009384155,0.05548490956425667,0
Dataset2,D2_Qual_2,Qualified,Transformer_AE,0.7107213139533997,0.0752926841378212,0
Dataset2,D2_Qual_3,Qualified,Transformer_AE,1.2301403284072876,0.06919767707586288,0
Dataset2,D2_Qual_4,Qualified,Transformer_AE,0.25949832797050476,0.04320046678185463,0
Dataset2,D2_Qual_5,Qualified,Transformer_AE,0.09435253590345383,0.010623089037835598,0
Dataset2,D2_Qual_6,Qualified,Transformer_AE,0.18484482169151306,0.018937308341264725,0
Dataset2,D2_Qual_7,Qualified,Transformer_AE,0.4350969195365906,0.031661827117204666,0
Dataset2,D2_Qual_8,Qualified,Transformer_AE,0.3951803743839264,0.03156144171953201,0
Dataset2,D2_Qual_9,Qualified,Transformer_AE,0.4663124978542328,0.03127749636769295,0
Dataset2,D2_Qual_10,Qualified,Transformer_AE,0.3659650981426239,0.043105777353048325,0
Dataset2,D2_Qual_11,Qualified,Transformer_AE,0.30640682578086853,0.04284023866057396,0
Dataset2,D2_Qual_12,Qualified,Transformer_AE,0.3599817156791687,0.025070007890462875,0
Dataset2,D2_Qual_13,Qualified,Transformer_AE,0.0686396062374115,0.008767201565206051,0
Dataset2,D2_Qual_14,Qualified,Transformer_AE,0.14893881976604462,0.021215373650193214,0
Dataset2,D2_Subseq_15,Subsequent,Transformer_AE,1.557205319404602,0.34460556507110596,1
Dataset2,D2_Subseq_16,Subsequent,Transformer_AE,1.0476861000061035,0.19683557748794556,1
Dataset2,D2_Subseq_17,Subsequent,Transformer_AE,3.0376055240631104,0.8119298815727234,1
Dataset2,D2_Subseq_18,Subsequent,Transformer_AE,2.2926642894744873,0.5546200275421143,1
Dataset2,D2_Subseq_19,Subsequent,Transformer_AE,3.7672412395477295,1.0791860818862915,1
Dataset2,D2_Subseq_20,Subsequent,Transformer_AE,14.645746231079102,3.8172316551208496,1
Dataset2,D2_Subseq_21,Subsequent,Transformer_AE,4.774923801422119,1.5645264387130737,1
Dataset2,D2_Subseq_22,Subsequent,Transformer_AE,0.4600033164024353,0.0746547132730484,1
Dataset2,D2_Subseq_23,Subsequent,Transformer_AE,1.3898544311523438,0.3477313816547394,1
