dataset,method,ROC_AUC,PR_AUC,n_normal,n_anomaly
Dataset1,PatchCore,0.8055555555555555,0.8688672438672438,6,6
Dataset2,PatchCore,0.8968253968253967,0.7997073913740582,14,9
