dataset,cell_id,group,method,threshold_type,threshold_value,detection_cycle,max_score
Dataset2,D2_Qual_1,Qualified,LSTM_AE,mean+2σ,0.26230964,24.0,1.027081847190857
Dataset2,D2_Qual_1,Qualified,LSTM_AE,P95,0.2237572,22.0,1.027081847190857
Dataset2,D2_Qual_2,Qualified,LSTM_AE,mean+3σ,0.36865222,13.0,0.7610076665878296
Dataset2,D2_Qual_2,Qualified,LSTM_AE,mean+2σ,0.26230964,12.0,0.7610076665878296
Dataset2,D2_Qual_2,Qualified,LSTM_AE,P95,0.2237572,11.0,0.7610076665878296
Dataset2,D2_Qual_3,Qualified,LSTM_AE,mean+3σ,0.36865222,12.0,1.2931877374649048
Dataset2,D2_Qual_3,Qualified,LSTM_AE,mean+2σ,0.26230964,10.0,1.2931877374649048
Dataset2,D2_Qual_3,Qualified,LSTM_AE,P95,0.2237572,3.0,1.2931877374649048
Dataset2,D2_Qual_4,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.4310190677642822
Dataset2,D2_Qual_4,Qualified,LSTM_AE,mean+2σ,0.26230964,18.0,0.4310190677642822
Dataset2,D2_Qual_4,Qualified,LSTM_AE,P95,0.2237572,17.0,0.4310190677642822
Dataset2,D2_Qual_5,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.08847840875387192
Dataset2,D2_Qual_5,Qualified,LSTM_AE,mean+2σ,0.26230964,,0.08847840875387192
Dataset2,D2_Qual_5,Qualified,LSTM_AE,P95,0.2237572,,0.08847840875387192
Dataset2,D2_Qual_6,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.22148191928863525
Dataset2,D2_Qual_6,Qualified,LSTM_AE,mean+2σ,0.26230964,,0.22148191928863525
Dataset2,D2_Qual_6,Qualified,LSTM_AE,P95,0.2237572,,0.22148191928863525
Dataset2,D2_Qual_7,Qualified,LSTM_AE,mean+3σ,0.36865222,11.0,0.6029289960861206
Dataset2,D2_Qual_7,Qualified,LSTM_AE,mean+2σ,0.26230964,10.0,0.6029289960861206
Dataset2,D2_Qual_7,Qualified,LSTM_AE,P95,0.2237572,10.0,0.6029289960861206
Dataset2,D2_Qual_8,Qualified,LSTM_AE,mean+3σ,0.36865222,21.0,0.46634387969970703
Dataset2,D2_Qual_8,Qualified,LSTM_AE,mean+2σ,0.26230964,20.0,0.46634387969970703
Dataset2,D2_Qual_8,Qualified,LSTM_AE,P95,0.2237572,19.0,0.46634387969970703
Dataset2,D2_Qual_9,Qualified,LSTM_AE,mean+3σ,0.36865222,21.0,0.5826483964920044
Dataset2,D2_Qual_9,Qualified,LSTM_AE,mean+2σ,0.26230964,20.0,0.5826483964920044
Dataset2,D2_Qual_9,Qualified,LSTM_AE,P95,0.2237572,19.0,0.5826483964920044
Dataset2,D2_Qual_10,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.4825276732444763
Dataset2,D2_Qual_10,Qualified,LSTM_AE,mean+2σ,0.26230964,13.0,0.4825276732444763
Dataset2,D2_Qual_10,Qualified,LSTM_AE,P95,0.2237572,13.0,0.4825276732444763
Dataset2,D2_Qual_11,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.43178144097328186
Dataset2,D2_Qual_11,Qualified,LSTM_AE,mean+2σ,0.26230964,8.0,0.43178144097328186
Dataset2,D2_Qual_11,Qualified,LSTM_AE,P95,0.2237572,8.0,0.43178144097328186
Dataset2,D2_Qual_12,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.40264859795570374
Dataset2,D2_Qual_12,Qualified,LSTM_AE,mean+2σ,0.26230964,19.0,0.40264859795570374
Dataset2,D2_Qual_12,Qualified,LSTM_AE,P95,0.2237572,18.0,0.40264859795570374
Dataset2,D2_Qual_13,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.06325595080852509
Dataset2,D2_Qual_13,Qualified,LSTM_AE,mean+2σ,0.26230964,,0.06325595080852509
Dataset2,D2_Qual_13,Qualified,LSTM_AE,P95,0.2237572,,0.06325595080852509
Dataset2,D2_Qual_14,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.17791636288166046
Dataset2,D2_Qual_14,Qualified,LSTM_AE,mean+2σ,0.26230964,,0.17791636288166046
Dataset2,D2_Qual_14,Qualified,LSTM_AE,P95,0.2237572,,0.17791636288166046
Dataset2,D2_Subseq_15,Subsequent,LSTM_AE,mean+3σ,0.36865222,28.0,2.0542290210723877
Dataset2,D2_Subseq_15,Subsequent,LSTM_AE,mean+2σ,0.26230964,18.0,2.0542290210723877
Dataset2,D2_Subseq_15,Subsequent,LSTM_AE,P95,0.2237572,15.0,2.0542290210723877
Dataset2,D2_Subseq_16,Subsequent,LSTM_AE,mean+3σ,0.36865222,183.0,1.4681402444839478
Dataset2,D2_Subseq_16,Subsequent,LSTM_AE,mean+2σ,0.26230964,173.0,1.4681402444839478
Dataset2,D2_Subseq_16,Subsequent,LSTM_AE,P95,0.2237572,21.0,1.4681402444839478
Dataset2,D2_Subseq_17,Subsequent,LSTM_AE,mean+3σ,0.36865222,3.0,3.799211025238037
Dataset2,D2_Subseq_17,Subsequent,LSTM_AE,mean+2σ,0.26230964,3.0,3.799211025238037
Dataset2,D2_Subseq_17,Subsequent,LSTM_AE,P95,0.2237572,3.0,3.799211025238037
Dataset2,D2_Subseq_18,Subsequent,LSTM_AE,mean+3σ,0.36865222,51.0,2.8412654399871826
Dataset2,D2_Subseq_18,Subsequent,LSTM_AE,mean+2σ,0.26230964,3.0,2.8412654399871826
Dataset2,D2_Subseq_18,Subsequent,LSTM_AE,P95,0.2237572,3.0,2.8412654399871826
Dataset2,D2_Subseq_19,Subsequent,LSTM_AE,mean+3σ,0.36865222,3.0,4.6581597328186035
Dataset2,D2_Subseq_19,Subsequent,LSTM_AE,mean+2σ,0.26230964,3.0,4.6581597328186035
Dataset2,D2_Subseq_19,Subsequent,LSTM_AE,P95,0.2237572,3.0,4.6581597328186035
Dataset2,D2_Subseq_20,Subsequent,LSTM_AE,mean+3σ,0.36865222,3.0,10.255613327026367
Dataset2,D2_Subseq_20,Subsequent,LSTM_AE,mean+2σ,0.26230964,3.0,10.255613327026367
Dataset2,D2_Subseq_20,Subsequent,LSTM_AE,P95,0.2237572,3.0,10.255613327026367
Dataset2,D2_Subseq_21,Subsequent,LSTM_AE,mean+3σ,0.36865222,3.0,5.7061944007873535
Dataset2,D2_Subseq_21,Subsequent,LSTM_AE,mean+2σ,0.26230964,3.0,5.7061944007873535
Dataset2,D2_Subseq_21,Subsequent,LSTM_AE,P95,0.2237572,3.0,5.7061944007873535
Dataset2,D2_Subseq_22,Subsequent,LSTM_AE,mean+3σ,0.36865222,221.0,0.6800232529640198
Dataset2,D2_Subseq_22,Subsequent,LSTM_AE,mean+2σ,0.26230964,206.0,0.6800232529640198
Dataset2,D2_Subseq_22,Subsequent,LSTM_AE,P95,0.2237572,202.0,0.6800232529640198
Dataset2,D2_Subseq_23,Subsequent,LSTM_AE,mean+3σ,0.36865222,15.0,1.8118211030960083
Dataset2,D2_Subseq_23,Subsequent,LSTM_AE,mean+2σ,0.26230964,14.0,1.8118211030960083
Dataset2,D2_Subseq_23,Subsequent,LSTM_AE,P95,0.2237572,13.0,1.8118211030960083
Dataset1,D1_Qual_1,Qualified,TCN_AE,mean+3σ,0.09950742,453.0,0.22869077324867249
Dataset1,D1_Qual_1,Qualified,TCN_AE,mean+2σ,0.07249269,450.0,0.22869077324867249
Dataset1,D1_Qual_1,Qualified,TCN_AE,P95,0.062366992,449.0,0.22869077324867249
Dataset1,D1_Qual_2,Qualified,TCN_AE,mean+3σ,0.09950742,45.0,0.149370476603508
Dataset1,D1_Qual_2,Qualified,TCN_AE,mean+2σ,0.07249269,41.0,0.149370476603508
Dataset1,D1_Qual_2,Qualified,TCN_AE,P95,0.062366992,40.0,0.149370476603508
Dataset1,D1_Qual_3,Qualified,TCN_AE,mean+3σ,0.09950742,445.0,0.1407655030488968
Dataset1,D1_Qual_3,Qualified,TCN_AE,mean+2σ,0.07249269,444.0,0.1407655030488968
Dataset1,D1_Qual_3,Qualified,TCN_AE,P95,0.062366992,444.0,0.1407655030488968
Dataset1,D1_Qual_4,Qualified,TCN_AE,mean+3σ,0.09950742,,0.09561869502067566
Dataset1,D1_Qual_4,Qualified,TCN_AE,mean+2σ,0.07249269,482.0,0.09561869502067566
Dataset1,D1_Qual_4,Qualified,TCN_AE,P95,0.062366992,441.0,0.09561869502067566
Dataset1,D1_Qual_5,Qualified,TCN_AE,mean+3σ,0.09950742,448.0,0.17383484542369843
Dataset1,D1_Qual_5,Qualified,TCN_AE,mean+2σ,0.07249269,447.0,0.17383484542369843
Dataset1,D1_Qual_5,Qualified,TCN_AE,P95,0.062366992,446.0,0.17383484542369843
Dataset1,D1_Qual_6,Qualified,TCN_AE,mean+3σ,0.09950742,445.0,0.2634812593460083
Dataset1,D1_Qual_6,Qualified,TCN_AE,mean+2σ,0.07249269,3.0,0.2634812593460083
Dataset1,D1_Qual_6,Qualified,TCN_AE,P95,0.062366992,3.0,0.2634812593460083
Dataset1,D1_Subseq_1,Subsequent,TCN_AE,mean+3σ,0.09950742,229.0,2.169086217880249
Dataset1,D1_Subseq_1,Subsequent,TCN_AE,mean+2σ,0.07249269,228.0,2.169086217880249
Dataset1,D1_Subseq_1,Subsequent,TCN_AE,P95,0.062366992,228.0,2.169086217880249
Dataset1,D1_Subseq_2,Subsequent,TCN_AE,mean+3σ,0.09950742,198.0,2.346600294113159
Dataset1,D1_Subseq_2,Subsequent,TCN_AE,mean+2σ,0.07249269,196.0,2.346600294113159
Dataset1,D1_Subseq_2,Subsequent,TCN_AE,P95,0.062366992,196.0,2.346600294113159
Dataset1,D1_Subseq_3,Subsequent,TCN_AE,mean+3σ,0.09950742,246.0,0.8838057518005371
Dataset1,D1_Subseq_3,Subsequent,TCN_AE,mean+2σ,0.07249269,245.0,0.8838057518005371
Dataset1,D1_Subseq_3,Subsequent,TCN_AE,P95,0.062366992,244.0,0.8838057518005371
Dataset1,D1_Subseq_4,Subsequent,TCN_AE,mean+3σ,0.09950742,395.0,0.40778881311416626
Dataset1,D1_Subseq_4,Subsequent,TCN_AE,mean+2σ,0.07249269,394.0,0.40778881311416626
Dataset1,D1_Subseq_4,Subsequent,TCN_AE,P95,0.062366992,246.0,0.40778881311416626
Dataset1,D1_Subseq_5,Subsequent,TCN_AE,mean+3σ,0.09950742,394.0,0.9788984060287476
Dataset1,D1_Subseq_5,Subsequent,TCN_AE,mean+2σ,0.07249269,393.0,0.9788984060287476
Dataset1,D1_Subseq_5,Subsequent,TCN_AE,P95,0.062366992,393.0,0.9788984060287476
Dataset1,D1_Subseq_6,Subsequent,TCN_AE,mean+3σ,0.09950742,395.0,0.29864633083343506
Dataset1,D1_Subseq_6,Subsequent,TCN_AE,mean+2σ,0.07249269,394.0,0.29864633083343506
Dataset1,D1_Subseq_6,Subsequent,TCN_AE,P95,0.062366992,228.0,0.29864633083343506
Dataset2,D2_Qual_1,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.18194551765918732
Dataset2,D2_Qual_1,Qualified,TCN_AE,mean+2σ,0.045002252,3.0,0.18194551765918732
Dataset2,D2_Qual_1,Qualified,TCN_AE,P95,0.040511437,3.0,0.18194551765918732
Dataset2,D2_Qual_2,Qualified,TCN_AE,mean+3σ,0.06232573,14.0,0.11517152935266495
Dataset2,D2_Qual_2,Qualified,TCN_AE,mean+2σ,0.045002252,3.0,0.11517152935266495
Dataset2,D2_Qual_2,Qualified,TCN_AE,P95,0.040511437,3.0,0.11517152935266495
Dataset2,D2_Qual_3,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.13571369647979736
Dataset2,D2_Qual_3,Qualified,TCN_AE,mean+2σ,0.045002252,3.0,0.13571369647979736
Dataset2,D2_Qual_3,Qualified,TCN_AE,P95,0.040511437,3.0,0.13571369647979736
Dataset2,D2_Qual_4,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.11035304516553879
Dataset2,D2_Qual_4,Qualified,TCN_AE,mean+2σ,0.045002252,3.0,0.11035304516553879
Dataset2,D2_Qual_4,Qualified,TCN_AE,P95,0.040511437,3.0,0.11035304516553879
Dataset2,D2_Qual_5,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.1298743635416031
Dataset2,D2_Qual_5,Qualified,TCN_AE,mean+2σ,0.045002252,3.0,0.1298743635416031
Dataset2,D2_Qual_5,Qualified,TCN_AE,P95,0.040511437,3.0,0.1298743635416031
Dataset2,D2_Qual_6,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.17623798549175262
Dataset2,D2_Qual_6,Qualified,TCN_AE,mean+2σ,0.045002252,3.0,0.17623798549175262
Dataset2,D2_Qual_6,Qualified,TCN_AE,P95,0.040511437,3.0,0.17623798549175262
Dataset2,D2_Qual_7,Qualified,TCN_AE,mean+3σ,0.06232573,,0.07850856333971024
Dataset2,D2_Qual_7,Qualified,TCN_AE,mean+2σ,0.045002252,3.0,0.07850856333971024
Dataset2,D2_Qual_7,Qualified,TCN_AE,P95,0.040511437,3.0,0.07850856333971024
Dataset2,D2_Qual_8,Qualified,TCN_AE,mean+3σ,0.06232573,,0.058504898101091385
Dataset2,D2_Qual_8,Qualified,TCN_AE,mean+2σ,0.045002252,,0.058504898101091385
Dataset2,D2_Qual_8,Qualified,TCN_AE,P95,0.040511437,3.0,0.058504898101091385
Dataset2,D2_Qual_9,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.1160070151090622
Dataset2,D2_Qual_9,Qualified,TCN_AE,mean+2σ,0.045002252,3.0,0.1160070151090622
Dataset2,D2_Qual_9,Qualified,TCN_AE,P95,0.040511437,3.0,0.1160070151090622
Dataset2,D2_Qual_10,Qualified,TCN_AE,mean+3σ,0.06232573,,0.07076535373926163
Dataset2,D2_Qual_10,Qualified,TCN_AE,mean+2σ,0.045002252,3.0,0.07076535373926163
Dataset2,D2_Qual_10,Qualified,TCN_AE,P95,0.040511437,3.0,0.07076535373926163
Dataset2,D2_Qual_11,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.11435703188180923
Dataset2,D2_Qual_11,Qualified,TCN_AE,mean+2σ,0.045002252,3.0,0.11435703188180923
Dataset2,D2_Qual_11,Qualified,TCN_AE,P95,0.040511437,3.0,0.11435703188180923
Dataset2,D2_Qual_12,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.11820273101329803
Dataset2,D2_Qual_12,Qualified,TCN_AE,mean+2σ,0.045002252,3.0,0.11820273101329803
Dataset2,D2_Qual_12,Qualified,TCN_AE,P95,0.040511437,3.0,0.11820273101329803
Dataset2,D2_Qual_13,Qualified,TCN_AE,mean+3σ,0.06232573,,0.12428413331508636
Dataset2,D2_Qual_13,Qualified,TCN_AE,mean+2σ,0.045002252,3.0,0.12428413331508636
Dataset2,D2_Qual_13,Qualified,TCN_AE,P95,0.040511437,3.0,0.12428413331508636
Dataset2,D2_Qual_14,Qualified,TCN_AE,mean+3σ,0.06232573,,0.0947495847940445
Dataset2,D2_Qual_14,Qualified,TCN_AE,mean+2σ,0.045002252,3.0,0.0947495847940445
Dataset2,D2_Qual_14,Qualified,TCN_AE,P95,0.040511437,3.0,0.0947495847940445
Dataset2,D2_Subseq_15,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,0.13896343111991882
Dataset2,D2_Subseq_15,Subsequent,TCN_AE,mean+2σ,0.045002252,3.0,0.13896343111991882
Dataset2,D2_Subseq_15,Subsequent,TCN_AE,P95,0.040511437,3.0,0.13896343111991882
Dataset2,D2_Subseq_16,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,0.1077934131026268
Dataset2,D2_Subseq_16,Subsequent,TCN_AE,mean+2σ,0.045002252,3.0,0.1077934131026268
Dataset2,D2_Subseq_16,Subsequent,TCN_AE,P95,0.040511437,3.0,0.1077934131026268
Dataset2,D2_Subseq_17,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,0.3573625087738037
Dataset2,D2_Subseq_17,Subsequent,TCN_AE,mean+2σ,0.045002252,3.0,0.3573625087738037
Dataset2,D2_Subseq_17,Subsequent,TCN_AE,P95,0.040511437,3.0,0.3573625087738037
Dataset2,D2_Subseq_18,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,0.27931153774261475
Dataset2,D2_Subseq_18,Subsequent,TCN_AE,mean+2σ,0.045002252,3.0,0.27931153774261475
Dataset2,D2_Subseq_18,Subsequent,TCN_AE,P95,0.040511437,3.0,0.27931153774261475
Dataset2,D2_Subseq_19,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,0.321247935295105
Dataset2,D2_Subseq_19,Subsequent,TCN_AE,mean+2σ,0.045002252,3.0,0.321247935295105
Dataset2,D2_Subseq_19,Subsequent,TCN_AE,P95,0.040511437,3.0,0.321247935295105
Dataset2,D2_Subseq_20,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,1.3159676790237427
Dataset2,D2_Subseq_20,Subsequent,TCN_AE,mean+2σ,0.045002252,3.0,1.3159676790237427
Dataset2,D2_Subseq_20,Subsequent,TCN_AE,P95,0.040511437,3.0,1.3159676790237427
Dataset2,D2_Subseq_21,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,0.5344477891921997
Dataset2,D2_Subseq_21,Subsequent,TCN_AE,mean+2σ,0.045002252,3.0,0.5344477891921997
Dataset2,D2_Subseq_21,Subsequent,TCN_AE,P95,0.040511437,3.0,0.5344477891921997
Dataset2,D2_Subseq_22,Subsequent,TCN_AE,mean+3σ,0.06232573,229.0,0.08728598058223724
Dataset2,D2_Subseq_22,Subsequent,TCN_AE,mean+2σ,0.045002252,3.0,0.08728598058223724
Dataset2,D2_Subseq_22,Subsequent,TCN_AE,P95,0.040511437,3.0,0.08728598058223724
Dataset2,D2_Subseq_23,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,0.3945635259151459
Dataset2,D2_Subseq_23,Subsequent,TCN_AE,mean+2σ,0.045002252,3.0,0.3945635259151459
Dataset2,D2_Subseq_23,Subsequent,TCN_AE,P95,0.040511437,3.0,0.3945635259151459
Dataset1,D1_Qual_1,Qualified,Transformer_AE,mean+3σ,0.21396059,453.0,0.3563876152038574
Dataset1,D1_Qual_1,Qualified,Transformer_AE,mean+2σ,0.1567471,342.0,0.3563876152038574
Dataset1,D1_Qual_1,Qualified,Transformer_AE,P95,0.16603875,342.0,0.3563876152038574
Dataset1,D1_Qual_2,Qualified,Transformer_AE,mean+3σ,0.21396059,43.0,0.3478461802005768
Dataset1,D1_Qual_2,Qualified,Transformer_AE,mean+2σ,0.1567471,41.0,0.3478461802005768
Dataset1,D1_Qual_2,Qualified,Transformer_AE,P95,0.16603875,41.0,0.3478461802005768
Dataset1,D1_Qual_3,Qualified,Transformer_AE,mean+3σ,0.21396059,445.0,0.33800727128982544
Dataset1,D1_Qual_3,Qualified,Transformer_AE,mean+2σ,0.1567471,445.0,0.33800727128982544
Dataset1,D1_Qual_3,Qualified,Transformer_AE,P95,0.16603875,445.0,0.33800727128982544
Dataset1,D1_Qual_4,Qualified,Transformer_AE,mean+3σ,0.21396059,483.0,0.31613367795944214
Dataset1,D1_Qual_4,Qualified,Transformer_AE,mean+2σ,0.1567471,440.0,0.31613367795944214
Dataset1,D1_Qual_4,Qualified,Transformer_AE,P95,0.16603875,440.0,0.31613367795944214
Dataset1,D1_Qual_5,Qualified,Transformer_AE,mean+3σ,0.21396059,446.0,0.4061647355556488
Dataset1,D1_Qual_5,Qualified,Transformer_AE,mean+2σ,0.1567471,446.0,0.4061647355556488
Dataset1,D1_Qual_5,Qualified,Transformer_AE,P95,0.16603875,446.0,0.4061647355556488
Dataset1,D1_Qual_6,Qualified,Transformer_AE,mean+3σ,0.21396059,180.0,0.3618408143520355
Dataset1,D1_Qual_6,Qualified,Transformer_AE,mean+2σ,0.1567471,179.0,0.3618408143520355
Dataset1,D1_Qual_6,Qualified,Transformer_AE,P95,0.16603875,179.0,0.3618408143520355
Dataset1,D1_Subseq_1,Subsequent,Transformer_AE,mean+3σ,0.21396059,229.0,23.680932998657227
Dataset1,D1_Subseq_1,Subsequent,Transformer_AE,mean+2σ,0.1567471,229.0,23.680932998657227
Dataset1,D1_Subseq_1,Subsequent,Transformer_AE,P95,0.16603875,229.0,23.680932998657227
Dataset1,D1_Subseq_2,Subsequent,Transformer_AE,mean+3σ,0.21396059,246.0,21.499879837036133
