dataset,cell_id,group,method,detection_cycle,threshold,max_score
Dataset2,D2_Qual_13,Qualified,LOF,,-0.00793992622377998,0.7537952283645604
Dataset2,D2_Qual_14,Qualified,LOF,,-0.00793992622377998,0.8892906723626002
Dataset2,D2_Subseq_15,Subsequent,LOF,28.0,-0.00793992622377998,8.406548861926243
Dataset2,D2_Subseq_16,Subsequent,LOF,37.0,-0.00793992622377998,7.15251102372866
Dataset2,D2_Subseq_17,Subsequent,LOF,13.0,-0.00793992622377998,11.5710668090031
Dataset2,D2_Subseq_18,Subsequent,LOF,39.0,-0.00793992622377998,10.856655481822983
Dataset2,D2_Subseq_19,Subsequent,LOF,12.0,-0.00793992622377998,12.801395390718103
Dataset2,D2_Subseq_20,Subsequent,LOF,4.0,-0.00793992622377998,19.038264993712176
Dataset2,D2_Subseq_21,Subsequent,LOF,4.0,-0.00793992622377998,14.31461164877092
Dataset2,D2_Subseq_22,Subsequent,LOF,43.0,-0.00793992622377998,4.97279373165072
Dataset2,D2_Subseq_23,Subsequent,LOF,19.0,-0.00793992622377998,8.60183168123779
Dataset1,D1_Qual_1,Qualified,Mahalanobis Distance,454.0,5.551032350955213,11.834298645883925
Dataset1,D1_Qual_2,Qualified,Mahalanobis Distance,,5.551032350955213,5.511423538001754
Dataset1,D1_Qual_3,Qualified,Mahalanobis Distance,449.0,5.551032350955213,11.262419983242877
Dataset1,D1_Qual_4,Qualified,Mahalanobis Distance,,5.551032350955213,4.695808603663608
Dataset1,D1_Qual_5,Qualified,Mahalanobis Distance,455.0,5.551032350955213,14.186933574514097
Dataset1,D1_Qual_6,Qualified,Mahalanobis Distance,449.0,5.551032350955213,13.374875012114593
Dataset1,D1_Subseq_1,Subsequent,Mahalanobis Distance,248.0,5.551032350955213,14.28275181657493
Dataset1,D1_Subseq_2,Subsequent,Mahalanobis Distance,250.0,5.551032350955213,17.104980134052397
Dataset1,D1_Subseq_3,Subsequent,Mahalanobis Distance,397.0,5.551032350955213,10.790232209384854
Dataset1,D1_Subseq_4,Subsequent,Mahalanobis Distance,399.0,5.551032350955213,8.181689118054686
Dataset1,D1_Subseq_5,Subsequent,Mahalanobis Distance,399.0,5.551032350955213,15.730282063707516
Dataset1,D1_Subseq_6,Subsequent,Mahalanobis Distance,399.0,5.551032350955213,5.955081906577143
Dataset2,D2_Qual_1,Qualified,Mahalanobis Distance,,6.014801625293954,12.280332433511322
Dataset2,D2_Qual_2,Qualified,Mahalanobis Distance,,6.014801625293954,13.385636760044846
Dataset2,D2_Qual_3,Qualified,Mahalanobis Distance,,6.014801625293954,10.743928433071186
Dataset2,D2_Qual_4,Qualified,Mahalanobis Distance,4.0,6.014801625293954,14.893668247600107
Dataset2,D2_Qual_5,Qualified,Mahalanobis Distance,4.0,6.014801625293954,15.393398315612615
Dataset2,D2_Qual_6,Qualified,Mahalanobis Distance,4.0,6.014801625293954,14.85861354391371
Dataset2,D2_Qual_7,Qualified,Mahalanobis Distance,4.0,6.014801625293954,15.519532327763288
Dataset2,D2_Qual_8,Qualified,Mahalanobis Distance,4.0,6.014801625293954,15.936618184840835
Dataset2,D2_Qual_9,Qualified,Mahalanobis Distance,,6.014801625293954,13.408461088799331
Dataset2,D2_Qual_10,Qualified,Mahalanobis Distance,4.0,6.014801625293954,15.059121321272086
Dataset2,D2_Qual_11,Qualified,Mahalanobis Distance,,6.014801625293954,12.397040070992622
Dataset2,D2_Qual_12,Qualified,Mahalanobis Distance,4.0,6.014801625293954,13.642158324472494
Dataset2,D2_Qual_13,Qualified,Mahalanobis Distance,,6.014801625293954,13.015845403594781
Dataset2,D2_Qual_14,Qualified,Mahalanobis Distance,4.0,6.014801625293954,14.868590034077915
Dataset2,D2_Subseq_15,Subsequent,Mahalanobis Distance,4.0,6.014801625293954,15.168783423403099
Dataset2,D2_Subseq_16,Subsequent,Mahalanobis Distance,4.0,6.014801625293954,14.880497190275538
Dataset2,D2_Subseq_17,Subsequent,Mahalanobis Distance,3.0,6.014801625293954,17.700259118073543
Dataset2,D2_Subseq_18,Subsequent,Mahalanobis Distance,226.0,6.014801625293954,11.737886077885573
Dataset2,D2_Subseq_19,Subsequent,Mahalanobis Distance,3.0,6.014801625293954,16.22485195464544
Dataset2,D2_Subseq_20,Subsequent,Mahalanobis Distance,3.0,6.014801625293954,21.468958921389685
Dataset2,D2_Subseq_21,Subsequent,Mahalanobis Distance,3.0,6.014801625293954,18.048372126866944
Dataset2,D2_Subseq_22,Subsequent,Mahalanobis Distance,4.0,6.014801625293954,15.682310693096365
Dataset2,D2_Subseq_23,Subsequent,Mahalanobis Distance,4.0,6.014801625293954,15.971782175679639
Dataset1,D1_Qual_1,Qualified,SPRT,,43.60669780676821,26.821342023622645
Dataset1,D1_Qual_2,Qualified,SPRT,,43.60669780676821,14.544057247644348
Dataset1,D1_Qual_3,Qualified,SPRT,,43.60669780676821,13.904425879900488
Dataset1,D1_Qual_4,Qualified,SPRT,,43.60669780676821,32.15006564951666
Dataset1,D1_Qual_5,Qualified,SPRT,,43.60669780676821,32.140810043398915
Dataset1,D1_Qual_6,Qualified,SPRT,123.0,43.60669780676821,49.69373379994238
Dataset1,D1_Subseq_1,Subsequent,SPRT,289.0,43.60669780676821,645.5463866211297
Dataset1,D1_Subseq_2,Subsequent,SPRT,300.0,43.60669780676821,513.9956597310635
Dataset1,D1_Subseq_3,Subsequent,SPRT,369.0,43.60669780676821,277.31793406343274
Dataset1,D1_Subseq_4,Subsequent,SPRT,397.0,43.60669780676821,190.956970413312
Dataset1,D1_Subseq_5,Subsequent,SPRT,428.0,43.60669780676821,117.29625386031044
Dataset1,D1_Subseq_6,Subsequent,SPRT,429.0,43.60669780676821,98.44697846928564
Dataset2,D2_Qual_1,Qualified,SPRT,,52.424720001022195,26.26584568408909
Dataset2,D2_Qual_2,Qualified,SPRT,,52.424720001022195,20.74144651653513
Dataset2,D2_Qual_3,Qualified,SPRT,90.0,52.424720001022195,55.5597904882005
Dataset2,D2_Qual_4,Qualified,SPRT,,52.424720001022195,22.132833883891383
Dataset2,D2_Qual_5,Qualified,SPRT,,52.424720001022195,32.16715476444675
Dataset2,D2_Qual_6,Qualified,SPRT,,52.424720001022195,33.630482518085714
Dataset2,D2_Qual_7,Qualified,SPRT,,52.424720001022195,26.83549047377555
Dataset2,D2_Qual_8,Qualified,SPRT,,52.424720001022195,27.68626558163717
Dataset2,D2_Qual_9,Qualified,SPRT,,52.424720001022195,26.526886126617182
Dataset2,D2_Qual_10,Qualified,SPRT,,52.424720001022195,24.547714877106156
Dataset2,D2_Qual_11,Qualified,SPRT,,52.424720001022195,27.397219164188712
Dataset2,D2_Qual_12,Qualified,SPRT,,52.424720001022195,27.684289740337515
Dataset2,D2_Qual_13,Qualified,SPRT,,52.424720001022195,27.225892604381155
Dataset2,D2_Qual_14,Qualified,SPRT,,52.424720001022195,29.758427798668524
Dataset2,D2_Subseq_15,Subsequent,SPRT,219.0,52.424720001022195,77.04547192328025
Dataset2,D2_Subseq_16,Subsequent,SPRT,242.0,52.424720001022195,58.544230090923996
Dataset2,D2_Subseq_17,Subsequent,SPRT,193.0,52.424720001022195,105.53865261710986
Dataset2,D2_Subseq_18,Subsequent,SPRT,204.0,52.424720001022195,94.42744211208905
Dataset2,D2_Subseq_19,Subsequent,SPRT,185.0,52.424720001022195,116.49675019824059
Dataset2,D2_Subseq_20,Subsequent,SPRT,65.0,52.424720001022195,207.29496159819465
Dataset2,D2_Subseq_21,Subsequent,SPRT,133.0,52.424720001022195,144.24178694815188
Dataset2,D2_Subseq_22,Subsequent,SPRT,,52.424720001022195,43.16105679904166
Dataset2,D2_Subseq_23,Subsequent,SPRT,220.0,52.424720001022195,76.37830868174156
